"cond","pragContext","window","Region","trialType","quarter","feature","noun","list","prop_selections","ymin_selections","ymax_selections","prop_looks"
"contrast","unreliable","noun","target","test",1,"big","pickle",1,1,1,1,0.811224489795918
"contrast","unreliable","noun","competitor","test",1,"big","pickle",1,0,0,0,0.0459183673469388
"contrast","unreliable","noun","other","test",1,"big","pickle",1,0,0,0,0.142857142857143
"contrast","unreliable","noun","target","test",1,"big","plant",1,1,1,1,0.680357142857143
"contrast","unreliable","noun","competitor","test",1,"big","plant",1,0,0,0,0.205357142857143
"contrast","unreliable","noun","other","test",1,"big","plant",1,0,0,0,0.114285714285714
"contrast","unreliable","noun","target","test",1,"big","ribbon",1,1,1,1,0.591836734693878
"contrast","unreliable","noun","competitor","test",1,"big","ribbon",1,0,0,0,0.122448979591837
"contrast","unreliable","noun","other","test",1,"big","ribbon",1,0,0,0,0.285714285714286
"contrast","unreliable","noun","target","test",1,"small","backpack",1,1,1,1,0.73469387755102
"contrast","unreliable","noun","competitor","test",1,"small","backpack",1,0,0,0,0.0561224489795918
"contrast","unreliable","noun","other","test",1,"small","backpack",1,0,0,0,0.209183673469388
"contrast","unreliable","noun","target","test",1,"small","bird",1,1,1,1,0.833333333333333
"contrast","unreliable","noun","competitor","test",1,"small","bird",1,0,0,0,0.0238095238095238
"contrast","unreliable","noun","other","test",1,"small","bird",1,0,0,0,0.142857142857143
"contrast","unreliable","noun","target","test",1,"small","bottle",1,1,1,1,0.851190476190476
"contrast","unreliable","noun","competitor","test",1,"small","bottle",1,0,0,0,0.0922619047619048
"contrast","unreliable","noun","other","test",1,"small","bottle",1,0,0,0,0.056547619047619
"contrast","unreliable","noun","target","test",1,"small","cat",1,1,1,1,0.602272727272727
"contrast","unreliable","noun","competitor","test",1,"small","cat",1,0,0,0,0.241883116883117
"contrast","unreliable","noun","other","test",1,"small","cat",1,0,0,0,0.155844155844156
"contrast","unreliable","noun","target","test",1,"small","cookie",1,1,1,1,0.811688311688312
"contrast","unreliable","noun","competitor","test",1,"small","cookie",1,0,0,0,0.0405844155844156
"contrast","unreliable","noun","other","test",1,"small","cookie",1,0,0,0,0.147727272727273
"contrast","unreliable","noun","target","test",1,"small","fish",1,1,1,1,0.581043956043956
"contrast","unreliable","noun","competitor","test",1,"small","fish",1,0,0,0,0.210164835164835
"contrast","unreliable","noun","other","test",1,"small","fish",1,0,0,0,0.208791208791209
"contrast","unreliable","noun","target","test",1,"small","flower",1,1,1,1,0.678571428571429
"contrast","unreliable","noun","competitor","test",1,"small","flower",1,0,0,0,0.244897959183673
"contrast","unreliable","noun","other","test",1,"small","flower",1,0,0,0,0.076530612244898
"contrast","unreliable","noun","target","test",1,"small","icecream",1,1,1,1,0.533482142857143
"contrast","unreliable","noun","competitor","test",1,"small","icecream",1,0,0,0,0.399553571428571
"contrast","unreliable","noun","other","test",1,"small","icecream",1,0,0,0,0.0669642857142857
"contrast","unreliable","noun","target","test",1,"small","lobster",1,1,1,1,0.494047619047619
"contrast","unreliable","noun","competitor","test",1,"small","lobster",1,0,0,0,0.209821428571429
"contrast","unreliable","noun","other","test",1,"small","lobster",1,0,0,0,0.296130952380952
"contrast","unreliable","noun","target","test",1,"small","monkey",1,1,1,1,0.4
"contrast","unreliable","noun","competitor","test",1,"small","monkey",1,0,0,0,0.442857142857143
"contrast","unreliable","noun","other","test",1,"small","monkey",1,0,0,0,0.157142857142857
"contrast","unreliable","noun","target","test",2,"big","ball",1,1,1,1,0.487244897959184
"contrast","unreliable","noun","competitor","test",2,"big","ball",1,0,0,0,0.0076530612244898
"contrast","unreliable","noun","other","test",2,"big","ball",1,0,0,0,0.505102040816326
"contrast","unreliable","noun","target","test",2,"big","ballerina",1,1,1,1,0.541666666666667
"contrast","unreliable","noun","competitor","test",2,"big","ballerina",1,0,0,0,0.130952380952381
"contrast","unreliable","noun","other","test",2,"big","ballerina",1,0,0,0,0.327380952380952
"contrast","unreliable","noun","target","test",2,"big","corn",1,1,1,1,0.582589285714286
"contrast","unreliable","noun","competitor","test",2,"big","corn",1,0,0,0,0.118303571428571
