"condition","itemid","Window","Region","freq.eye","prop.eye","freq.click","prop.click"
"nocontrast",17,"adjective","target",182,0.598684210526316,9,0.18
"nocontrast",17,"noun","competitor",0,0,4,0.08
"nocontrast",17,"noun","distractor",0,0,0,0
"nocontrast",17,"noun","contrast",0,0,0,0
"nocontrast",17,"noun","target",0,0,46,0.92
"nocontrast",17,"prior","competitor",63,0.273913043478261,11,0.22
"nocontrast",17,"prior","distractor",36,0.156521739130435,12,0.24
"nocontrast",17,"prior","contrast",64,0.278260869565217,12,0.24
"nocontrast",17,"prior","target",67,0.291304347826087,15,0.3
"nocontrast",18,"adjective","competitor",98,0.422413793103448,44,0.88
"nocontrast",18,"adjective","distractor",20,0.0862068965517241,2,0.04
"nocontrast",18,"adjective","contrast",16,0.0689655172413793,2,0.04
"nocontrast",18,"adjective","target",98,0.422413793103448,2,0.04
"nocontrast",18,"noun","competitor",6,0.333333333333333,44,0.88
"nocontrast",18,"noun","distractor",0,0,0,0
"nocontrast",18,"noun","contrast",0,0,0,0
"nocontrast",18,"noun","target",12,0.666666666666667,6,0.12
"nocontrast",18,"prior","competitor",45,0.279503105590062,10,0.2
"nocontrast",18,"prior","distractor",42,0.260869565217391,10,0.2
"nocontrast",18,"prior","contrast",30,0.186335403726708,22,0.44
"nocontrast",18,"prior","target",44,0.273291925465839,8,0.16
"nocontrast",19,"adjective","competitor",67,0.25968992248062,20,0.4
"nocontrast",19,"adjective","distractor",51,0.197674418604651,1,0.02
"nocontrast",19,"adjective","contrast",21,0.0813953488372093,1,0.02
"nocontrast",19,"adjective","target",119,0.461240310077519,28,0.56
"nocontrast",19,"noun","competitor",3,0.111111111111111,1,0.02
"nocontrast",19,"noun","distractor",0,0,0,0
"nocontrast",19,"noun","contrast",3,0.111111111111111,0,0
"nocontrast",19,"noun","target",21,0.777777777777778,49,0.98
